Test: a = 4, b = -9, c = 4, n_roots = 2, x1 = 0.609612, x2 = 1.64039

Test: a = 1, b = 2, c = 1, n_roots = 1, x1 = -1, x2 = 1.#QNAN

Test: a = 1, b = 2, c = 3, n_roots = 0, x1 = 1.#QNAN, x2 = 1.#QNAN

Test: a = 1, b = -13, c = 42, n_roots = 2, x1 = 6, x2 = 7

Test: a = 1, b = 2, c = 1, n_roots = 1, x1 = -1, x2 = 1.#QNAN

Test: a = 4, b = -9, c = 4, n_roots = 2, x1 = 0.609612, x2 = 1.64039

Test: a = 4, b = -9, c = 4, n_roots = 2, x1 = 0.609612, x2 = 1.64039

Test: a = 4, b = -9, c = 4, n_roots = 2, x1 = 0.609612, x2 = 1.64039

Test: a = 4, b = -9, c = 4, n_roots = 2, x1 = 0.609612, x2 = 1.64039

Test: a = 4, b = -9, c = 4, n_roots = 2, x1 = 0.609612, x2 = 1.64039

Test: a = 4, b = -9, c = 4, n_roots = 2, x1 = 0.609612, x2 = 1.64039

Test: a = 4, b = -9, c = 4, n_roots = 2, x1 = 0.609612, x2 = 1.64039

Test: a = 4, b = -9, c = 4, n_roots = 2, x1 = 0.609612, x2 = 1.64039

Test: a = 4, b = -9, c = 4, n_roots = 2, x1 = 0.609612, x2 = 1.64039

Test: a = 4, b = -9, c = 4, n_roots = 2, x1 = 0.609612, x2 = 1.64039

Test: a = 4, b = -9, c = 4, n_roots = 2, x1 = 0.609612, x2 = 1.64039

Test: a = 4, b = -9, c = 4, n_roots = 2, x1 = 0.609612, x2 = 1.64039

Test: a = 4, b = -9, c = 4, n_roots = 2, x1 = 0.609612, x2 = 1.64039

Test: a = 4, b = -9, c = 4, n_roots = 2, x1 = 0.609612, x2 = 1.64039

Test: a = 4, b = -9, c = 4, n_roots = 2, x1 = 0.609612, x2 = 1.64039

Test: a = 4, b = -9, c = 4, n_roots = 2, x1 = 0.609612, x2 = 1.64039

Test: a = 4, b = -9, c = 4, n_roots = 2, x1 = 0.609612, x2 = 1.64039

Test: a = 0.2, b = -12, c = 0.3, n_roots = 2, x1 = 0.0250104, x2 = 59.975

Test: a = 0.2, b = -13, c = 0.3, n_roots = 2, x1 = 0.0230851, x2 = 64.9769

Test: a = 0.3, b = -13, c = 0.3, n_roots = 2, x1 = 0.0230892, x2 = 43.3102

